"query","significant","p_value","term_size","query_size","intersection_size","precision","recall","term_id","source","term_name","effective_domain_size","source_order","parents"
"query_1",TRUE,0.0040474374865325,3010,91,31,0.340659340659341,0.0102990033222591,"GO:0009966","GO:BP","regulation of signal transduction",21031,3842,"GO:0007165, GO:0010646, GO:0023051, GO:0048583"
"query_1",TRUE,0.00462390243246515,6537,91,50,0.54945054945055,0.00764876854826373,"GO:0007154","GO:BP","cell communication",21031,2749,"GO:0009987"
"query_1",TRUE,0.0102865779743408,8,91,3,0.032967032967033,0.375,"GO:0019835","GO:BP","cytolysis",21031,6267,"GO:0009987"
"query_1",TRUE,0.0110555215357883,290,91,9,0.0989010989010989,0.0310344827586207,"GO:0001818","GO:BP","negative regulation of cytokine production",21031,480,"GO:0001816, GO:0001817, GO:0010629, GO:0051241"
"query_1",TRUE,0.0119773975219794,1637,91,21,0.230769230769231,0.0128283445326817,"GO:0051240","GO:BP","positive regulation of multicellular organismal process",21031,14038,"GO:0032501, GO:0048518, GO:0051239"
"query_1",TRUE,0.0123465959411729,156,91,7,0.0769230769230769,0.0448717948717949,"GO:0046718","GO:BP","symbiont entry into host cell",21031,12746,"GO:0019058, GO:0044409"
"query_1",TRUE,0.0128847852397723,3346,91,32,0.351648351648352,0.00956365809922295,"GO:0031325","GO:BP","positive regulation of cellular metabolic process",21031,7374,"GO:0009893, GO:0031323, GO:0044237, GO:0048522"
"query_1",TRUE,0.0146443276124547,1799,91,22,0.241758241758242,0.0122290161200667,"GO:0065009","GO:BP","regulation of molecular function",21031,16386,"GO:0065007"
"query_1",TRUE,0.0147307914654787,3711,91,34,0.373626373626374,0.00916195095661547,"GO:0009893","GO:BP","positive regulation of metabolic process",21031,3791,"GO:0008152, GO:0019222, GO:0048518"
"query_1",TRUE,0.0147671676420383,28,91,4,0.043956043956044,0.142857142857143,"GO:0039529","GO:BP","RIG-I signaling pathway",21031,10143,"GO:0002753"
"query_1",TRUE,0.0157612779202202,228,91,8,0.0879120879120879,0.0350877192982456,"GO:0071356","GO:BP","cellular response to tumor necrosis factor",21031,17108,"GO:0034612, GO:0071345"
"query_1",TRUE,0.0164797212353257,163,91,7,0.0769230769230769,0.0429447852760736,"GO:0044409","GO:BP","symbiont entry into host",21031,11373,"GO:0051701"
"query_1",TRUE,0.025259671218762,174,91,7,0.0769230769230769,0.0402298850574713,"GO:2000116","GO:BP","regulation of cysteine-type endopeptidase activity",21031,26138,"GO:0052548"
"query_1",TRUE,0.0300244684246859,11,91,3,0.032967032967033,0.272727272727273,"GO:0039530","GO:BP","MDA-5 signaling pathway",21031,10144,"GO:0002753"
"query_1",TRUE,0.0440895245256798,2,91,2,0.021978021978022,1,"GO:0019060","GO:BP","intracellular transport of viral protein in host cell",21031,5738,"GO:0030581, GO:0046719"
"query_1",TRUE,0.0440895245256798,2,91,2,0.021978021978022,1,"GO:0030581","GO:BP","symbiont intracellular protein transport in host",21031,7088,"GO:0015031, GO:0051701"
"query_1",TRUE,0.047680305871482,1648,91,20,0.21978021978022,0.0121359223300971,"GO:0048585","GO:BP","negative regulation of response to stimulus",21031,13281,"GO:0048519, GO:0048583, GO:0050896"
"query_1",TRUE,0.047956862927462,1110,91,16,0.175824175824176,0.0144144144144144,"GO:0051241","GO:BP","negative regulation of multicellular organismal process",21031,14039,"GO:0032501, GO:0048519, GO:0051239"
